Sciences, Quel est le symbole chimique de l'eau ?, H2O, CO2, NaCl, O2;
Gastronomie, Quel fromage est traditionnellement utilisé dans la tartiflette ?, Le Reblochon, Le Camembert, Le Roquefort, Le Brie;
Invention, Qui a inventé le téléphone ?, Alexander Graham Bell, Thomas Edison, Guglielmo Marconi, Samuel Morse;
Espace, Quelle est la plus grande planète du système solaire ?, Jupiter, Saturne, Neptune, Uranus;
Histoire, Qui était la reine d'Égypte amante de Marc Antoine ?, Cléopâtre, Néfertiti, Hatchepsout, Ishtar;
Cinéma, Quel film d'animation met en scène Simba ?, Le Roi Lion, Aladdin, Bambi, Tarzan;
Sport, Dans quel sport utilise-t-on un volant ?, Le badminton, Le tennis, Le squash, Le golf;
Mythologie, Quel animal est le Sphinx ?, Un lion à tête humaine, Un taureau ailé, Un chien à trois têtes, Un cheval ailé;
Musique, Quelle chanteuse est surnommée la Queen of Pop ?, Madonna, Britney Spears, Lady Gaga, Beyoncé;
Littérature, Quel détective vit au 221B Baker Street ?, Sherlock Holmes, Hercule Poirot, Arsène Lupin, Jules Maigret;
Géographie, Quel pays possède le plus d'îles au monde ?, La Suède, La Norvège, Le Canada, L'Indonésie;
Sciences, Quelle est l'unité de mesure de la tension électrique ?, Le Volt, L'Ampère, Le Watt, L'Ohm;
Histoire, Quelle muraille a été construite pour protéger la Chine ?, La Grande Muraille, Le Mur d'Hadrien, Le Mur de Berlin, Le Mur des Lamentations;
Cinéma, Qui a réalisé Pulp Fiction ?, Quentin Tarantino, Martin Scorsese, Steven Spielberg, Ridley Scott;
Nature, Quel oiseau est incapable de voler ?, L'autruche, L'aigle, Le faucon, Le colibri;
Sport, Combien de temps dure un match de rugby ?, 80 minutes, 90 minutes, 60 minutes, 70 minutes;
Art, Où se trouve le musée du Prado ?, Madrid, Paris, Londres, Florence;
Musique, Quel compositeur est sourd à la fin de sa vie ?, Beethoven, Mozart, Bach, Vivaldi;
Géographie, Quel fleuve traverse Londres ?, La Tamise, La Seine, Le Danube, Le Tibre;
Histoire, Qui a été le premier homme dans l'espace ?, Yuri Gagarine, Neil Armstrong, Buzz Aldrin, John Glenn;
Sciences, Quel est l'élément le plus abondant dans l'univers ?, L'hydrogène, L'oxygène, Le carbone, L'hélium;
Littérature, Qui a écrit Harry Potter ?, J.K. Rowling, Stephen King, J.R.R. Tolkien, Roald Dahl;
Mythologie, Quel est le nom romain d'Arès ?, Mars, Jupiter, Mercure, Neptune;
Gastronomie, De quel pays vient la paella ?, L'Espagne, L'Italie, Le Portugal, Le Mexique;
Espace, Combien de lunes possède la Terre ?, 1, 2, 0, 3;
Sport, Quel est le nom du terrain de tennis ?, Le court, Le ring, Le gazon, La piste;
Histoire, Quel pays a offert la Statue de la Liberté aux USA ?, La France, L'Angleterre, L'Allemagne, L'Espagne;
Cinéma, Quel acteur joue Jack Sparrow ?, Johnny Depp, Brad Pitt, Tom Cruise, Leonardo DiCaprio;
Géographie, Quel pays est surnommé l'Hexagone ?, La France, L'Espagne, L'Italie, La Belgique;
Nature, Quel reptile change de couleur pour se camoufler ?, Le caméléon, L'iguane, Le lézard, Le serpent;
Sciences, Quel est l'organe le plus lourd du corps humain ?, La peau, Le foie, Le cerveau, Le cœur;
Art, Qui a peint Le Cri ?, Edvard Munch, Salvador Dali, René Magritte, Frida Kahlo;
Musique, Quel est le nom du festival de musique à Rio ?, Le Carnaval, Tomorrowland, Coachella, Glastonbury;
Littérature, Qui est l'auteur de Don Quichotte ?, Miguel de Cervantes, Federico Garcia Lorca, Pablo Neruda, Jorge Luis Borges;
Histoire, En quelle année est tombé le mur de Berlin ?, 1989, 1991, 1985, 1975;
Sport, Dans quel pays se déroulent les JO 2024 ?, La France, Le Japon, La Chine, Les USA;
Mythologie, Qui a ouvert une boîte libérant les maux du monde ?, Pandore, Psyché, Hélène, Médée;
Gastronomie, Quel fruit est utilisé pour faire du cidre ?, La pomme, La poire, Le raisin, La cerise;
Sciences, Quelle est la capitale de l'Islande ?, Reykjavik, Oslo, Stockholm, Helsinki;
Technologie, Que signifie l'acronyme PDF ?, Portable Document Format, Personal Data File, Private Digital Folder, Printed Document File;
Cinéma, Quel réalisateur a fait Jurassic Park ?, Steven Spielberg, George Lucas, James Cameron, Peter Jackson;
Histoire, Qui était le premier président des États-Unis ?, George Washington, Thomas Jefferson, Abraham Lincoln, John Adams;
Géographie, Quelle est la capitale du Canada ?, Ottawa, Toronto, Montréal, Vancouver;
Sciences, Combien de planètes y a-t-il dans le système solaire ?, 8, 9, 7, 10;
Littérature, Quel est le premier livre de la Bible ?, La Genèse, L'Exode, Les Psaumes, L'Apocalypse;
Sport, Quel cycliste a gagné 5 Tours de France ?, Eddy Merckx, Bernard Hinault, Jacques Anquetil, Miguel Indurain;
Art, Dans quelle ville se trouve la statue de la Liberté ?, New York, Washington, Boston, Philadelphie;
Musique, Quel chanteur est surnommé le King ?, Elvis Presley, Michael Jackson, James Brown, Freddie Mercury;
Mythologie, Quel est le nom du chien à trois têtes d'Hadès ?, Cerbère, Argos, Phenix, Pegasus;
Géographie, Quelle est la monnaie du Mexique ?, Le Peso, Le Dollar, Le Real, Le Sol;
Histoire, Quel peuple a construit les pyramides de Gizeh ?, Les Égyptiens, Les Mayas, Les Incas, Les Romains;
Sciences, Quelle vitamine est produite par le soleil ?, Vitamine D, Vitamine C, Vitamine A, Vitamine B12;
Nature, Quel animal est le plus rapide au monde ?, Le guépard, Le lion, L'antilope, Le cheval;
Gastronomie, Quel est l'ingrédient principal du houmous ?, Le pois chiche, La lentille, Le haricot, Le soja;
Cinéma, Quelle est la couleur du sabre laser de Luke Skywalker ?, Vert, Rouge, Violet, Jaune;
Littérature, Qui a écrit Le Comte de Monte-Cristo ?, Alexandre Dumas, Victor Hugo, Honoré de Balzac, Stendhal;
Sport, Combien de points vaut un essai au rugby ?, 5, 3, 7, 2;
Art, Qui est l'auteur de la sculpture Le Penseur ?, Auguste Rodin, Camille Claudel, Alberto Giacometti, Henry Moore;
Histoire, Quel événement a déclenché la 1ère Guerre mondiale ?, L'assassinat de François-Ferdinand, L'invasion de la Pologne, La chute du Mur, Le krach de 1929;
Géographie, Quel est le plus grand océan du monde ?, L'océan Pacifique, L'océan Atlantique, L'océan Indien, L'océan Arctique;
Sciences, Quelle partie de l'œil capte la lumière ?, La rétine, L'iris, La pupille, La cornée;
Musique, De quel pays est originaire le groupe ABBA ?, La Suède, La Norvège, Le Danemark, La Finlande;
Espace, Quel est l'objet au centre de notre galaxie ?, Un trou noir, Une étoile, Une planète, Une nébuleuse;
Histoire, Qui a découvert la pénicilline ?, Alexander Fleming, Louis Pasteur, Marie Curie, Isaac Newton;
Cinéma, Quel acteur joue Neo dans Matrix ?, Keanu Reeves, Brad Pitt, Tom Cruise, Will Smith;
Sport, Quel est le tournoi de tennis sur terre battue ?, Roland-Garros, Wimbledon, US Open, Open d'Australie;
Nature, Quel arbre produit des glands ?, Le chêne, Le hêtre, Le bouleau, Le sapin;
Gastronomie, Quel pays a inventé la pizza ?, L'Italie, La Grèce, La Turquie, La France;
Sciences, Quel est le métal liquide à température ambiante ?, Le mercure, L'étain, Le plomb, Le cuivre;
Littérature, Qui a écrit L'Étranger ?, Albert Camus, Jean-Paul Sartre, Simone de Beauvoir, Boris Vian;
Mythologie, Quel est le messager des dieux grecs ?, Hermès, Apollon, Héphaïstos, Dionysos;
Histoire, Quel général a dirigé la France Libre ?, Charles de Gaulle, Philippe Pétain, Jean Moulin, Winston Churchill;
Géographie, Quel pays possède la plus grande population ?, L'Inde, La Chine, Les USA, L'Indonésie;
Musique, Quel rappeur a sorti l'album Thriller ?, Personne (C'est Michael Jackson), Eminem, Jay-Z, Drake;
Sport, Dans quel sport brille Lewis Hamilton ?, La Formule 1, Le Tennis, Le Golf, La Natation;
Art, Qui a peint Guernica ?, Pablo Picasso, Salvador Dali, Joan Miro, Henri Matisse;
Nature, Combien de bras a une pieuvre ?, 8, 6, 10, 5;
Sciences, Quel est le pH de l'eau pure ?, 7, 1, 14, 5;
Cinéma, Quel film a le record d'entrées de tous les temps ?, Avatar, Titanic, Avengers Endgame, Gone with the Wind;
Histoire, Quel empire était dirigé par Jules César ?, L'Empire romain, L'Empire grec, L'Empire perse, L'Empire ottoman;
Géographie, Quelle est la capitale de l'Italie ?, Rome, Milan, Naples, Venise;
Littérature, Qui est le fidèle compagnon de Tintin ?, Milou, Haddock, Tournesol, Dupont;
Gastronomie, Quelle est la boisson la plus consommée au monde ?, Le thé, Le café, La bière, Le vin;
Sport, Combien d'anneaux y a-t-il sur le drapeau olympique ?, 5, 6, 4, 7;
Mythologie, Qui est la déesse de la sagesse ?, Athéna, Aphrodite, Héra, Artémis;
Sciences, Quelle force nous maintient au sol ?, La gravité, Le magnétisme, La friction, L'inertie;
Invention, Qui a inventé l'avion ?, Les frères Wright, Clément Ader, Leonardo da Vinci, Alberto Santos-Dumont;
Histoire, Quel pays a été divisé par un mur jusqu'en 1989 ?, L'Allemagne, La Corée, Le Vietnam, Chypre;
Musique, Quel instrument est surnommé le violon du pauvre ?, L'accordéon, La flûte, La guitare, L'harmonica;
Art, Quel artiste est connu pour ses boîtes de soupe Campbell ?, Andy Warhol, Roy Lichtenstein, Keith Haring, Jean-Michel Basquiat;
Géographie, Quel pays est traversé par l'équateur ?, Le Brésil, L'Argentine, Le Mexique, L'Afrique du Sud;
Nature, Quel animal pond le plus gros œuf ?, L'autruche, Le requin, Le crocodile, L'émeu;
Sport, Quel est le surnom de l'équipe de rugby de NZ ?, Les All Blacks, Les Wallabies, Les Springboks, Les Pumas;
Sciences, Quelle est la formule chimique du sel ?, NaCl, KCl, H2O, CO2;
Littérature, Qui a écrit Germinal ?, Émile Zola, Gustave Flaubert, Guy de Maupassant, Stendhal;
Cinéma, Quel est le nom du robot doré dans Star Wars ?, C-3PO, R2-D2, BB-8, Wall-E;
Histoire, Qui a libéré l'Afrique du Sud de l'Apartheid ?, Nelson Mandela, Desmond Tutu, Steve Biko, Kofi Annan;
Mythologie, Qui a tué le Minotaure ?, Thésée, Persée, Hercule, Jason;
Géographie, Quel est le point le plus haut de la Terre ?, L'Everest, Le K2, Le Mont Blanc, Le Kilimandjaro;
Sciences, Quel est le type de sang universel ?, O négatif, AB positif, A positif, B négatif;
Sport, Quel pays accueille le Tour de France ?, La France, L'Italie, L'Espagne, La Belgique;
Gastronomie, De quoi est faite la meringue ?, Blanc d'oeuf et sucre, Jaune d'oeuf et farine, Lait et beurre, Chocolat;
Art, Quel peintre s'est coupé l'oreille ?, Vincent van Gogh, Paul Gauguin, Henri de Toulouse-Lautrec, Edgar Degas;
Musique, Quel groupe a composé Stairway to Heaven ?, Led Zeppelin, Pink Floyd, Deep Purple, Black Sabbath;
Histoire, Quel explorateur a fait le premier tour du monde ?, Magellan, James Cook, Jacques Cartier, Amerigo Vespucci;
Espace, Quel est le nom de notre galaxie ?, La Voie Lactée, Andromède, Le Sombrero, Messier 81;
Cinéma, Qui joue Forrest Gump ?, Tom Hanks, Brad Pitt, Johnny Depp, Robin Williams;
Littérature, Quel auteur a créé le personnage d'Arsène Lupin ?, Maurice Leblanc, Gaston Leroux, Arthur Conan Doyle, Agatha Christie;
Géographie, Quelle est la capitale de l'Allemagne ?, Berlin, Munich, Francfort, Hambourg;
Sport, Quel est le nombre de joueurs dans une équipe de basket ?, 5, 6, 7, 11;
Nature, Quelle est la fleur nationale du Japon ?, Le cerisier, La rose, Le lotus, Le tournesol;
Sciences, Quelle planète est connue pour ses anneaux ?, Saturne, Jupiter, Neptune, Uranus;
Histoire, Quel président a aboli l'esclavage aux USA ?, Abraham Lincoln, George Washington, Andrew Jackson, Ulysses Grant;
Musique, Qui chantait Like a Virgin ?, Madonna, Cyndi Lauper, Whitney Houston, Tina Turner;
Mythologie, Quel est le dieu du vin ?, Dionysos, Hermès, Apollon, Héphaïstos;
Gastronomie, Quel alcool trouve-t-on dans un Mojito ?, Le rhum, La tequila, La vodka, Le gin;
Art, Qui a sculpté le David de marbre à Florence ?, Michel-Ange, Donatello, Le Bernin, Canova;
Cinéma, Quel film d'horreur se passe à l'hôtel Overlook ?, Shining, Psychose, L'Exorciste, Halloween;
Géographie, Quel pays possède le drapeau rouge avec un cercle blanc et une croix rouge ?, La Suisse (Non), Le Japon (Non), La Turquie (Non), Le Danemark;
Histoire, Quel navigateur a découvert le Canada ?, Jacques Cartier, Christophe Colomb, Samuel de Champlain, John Cabot;
Sciences, Quel gaz respirons-nous principalement ?, L'azote, L'oxygène, L'argon, Le dioxyde de carbone;
Sport, Dans quel sport utilise-t-on un sandwedge ?, Le golf, Le baseball, Le cricket, Le polo;
Nature, Quel est l'animal le plus rapide dans l'eau ?, Le voilier, Le requin, Le dauphin, L'espadon;
Littérature, Qui a écrit Les Trois Mousquetaires ?, Alexandre Dumas, Victor Hugo, Jules Verne, Molière;
Mythologie, Quel est le métal de prédilection d'Héphaïstos ?, Le fer, L'or, L'argent, Le bronze;
Histoire, Qui était le premier empereur des Français ?, Napoléon Ier, Charlemagne, Louis XIV, Philippe le Bel;
Géographie, Quel est le plus long fleuve d'Europe ?, La Volga, Le Danube, Le Rhin, La Seine;
Musique, Quel instrument est à vent et en cuivre ?, La trompette, La flûte, Le piano, Le violon;
Sport, Quel est le pays d'origine du judo ?, Le Japon, La Chine, La Corée, Le Vietnam;
Cinéma, Qui a réalisé E.T. l'extra-terrestre ?, Steven Spielberg, George Lucas, Ridley Scott, Tim Burton;
Gastronomie, Quelle épice est la plus chère du monde ?, Le safran, La vanille, La cannelle, Le poivre;
Sciences, Quelle particule a une charge négative ?, L'électron, Le proton, Le neutron, Le photon;
Art, Qui a peint La Nuit étoilée ?, Vincent van Gogh, Claude Monet, Paul Cézanne, Georges Seurat;
Histoire, En quelle année l'homme a-t-il marché sur la Lune ?, 1969, 1961, 1975, 1959;
Littérature, Qui est l'auteur de Candide ?, Voltaire, Rousseau, Diderot, Montesquieu;
Mythologie, Comment s'appelle le marteau de Thor ?, Mjolnir, Excalibur, Aegis, Gungnir;
Géographie, Quelle est la capitale du Portugal ?, Lisbonne, Porto, Madrid, Séville;
Sport, Quel est le nom du trophée du hockey sur glace ?, La Coupe Stanley, Le Super Bowl, La Coupe Davis, Le Saladier;
Nature, Quel mammifère peut voler ?, La chauve-souris, L'écureuil volant, Le colibri, Le ptérodactyle;
Sciences, Quelle est la capitale de l'Espagne ?, Madrid, Barcelone, Valence, Séville;
Musique, Quel groupe a chanté Bohemian Rhapsody ?, Queen, Pink Floyd, The Who, Genesis;
Histoire, Quel mur séparait l'Est de l'Ouest à Berlin ?, Le Mur de Berlin, Le Mur d'Hadrien, La Ligne Maginot, Le Rideau de Fer;
Cinéma, Quel film se déroule sur la planète Pandora ?, Avatar, Interstellar, Star Wars, Dune;
Gastronomie, Quel est le composant principal du chocolat ?, Le cacao, Le lait, Le sucre, Le beurre;
Sport, Quelle ville a accueilli les JO en 2021 ?, Tokyo, Pékin, Rio, Londres;
Art, Qui a peint La Cène ?, Léonard de Vinci, Michel-Ange, Raphaël, Botticelli;
Littérature, Quel monstre a été créé par Mary Shelley ?, Frankenstein, Dracula, Le Loup-Garou, La Momie;
Géographie, Quel pays est une île au sud de l'Inde ?, Le Sri Lanka, Madagascar, Les Maldives, L'Indonésie;
Sciences, Quel scientifique a formulé E=mc2 ?, Albert Einstein, Isaac Newton, Stephen Hawking, Marie Curie;
Histoire, Qui était surnommé le Petit Caporal ?, Napoléon Bonaparte, Louis-Philippe, Charles X, Maréchal Ney;
Musique, Quel genre musical vient de la Jamaïque ?, Le reggae, La salsa, Le jazz, Le blues;
Cinéma, Quel est le prénom de l'agent 007 ?, James, Jason, Jack, John;
Sport, Quel est le plus grand tournoi de cyclisme ?, Le Tour de France, Le Giro, La Vuelta, Paris-Roubaix;
Mythologie, Quel est le dieu romain de l'amour ?, Cupidon, Mars, Mercure, Bacchus;
Gastronomie, Quel fruit produit le vin ?, Le raisin, La pomme, La cerise, La poire;
Nature, Quel animal est le symbole de la sagesse ?, La chouette, Le lion, L'éléphant, Le serpent;
Sciences, Quel est l'os le plus long du corps ?, Le fémur, L'humérus, Le tibia, Le radius;
Littérature, Qui a écrit Faust ?, Goethe, Schiller, Kafka, Nietzsche;
Art, Où peut-on voir la statue de la Vénus de Milo ?, Le Louvre, Le British Museum, Le Met, L'Ermitage;
Histoire, Quel empire a construit le Colisée ?, L'Empire romain, L'Empire ottoman, L'Empire mongol, L'Empire aztèque;
Géographie, Quel pays possède le plus grand territoire ?, La Russie, Le Canada, La Chine, Les USA;
Sport, Quelle est la couleur du maillot du leader du Tour de France ?, Jaune, Rose, Vert, Blanc;
Cinéma, Quel est le nom de l'école de Harry Potter ?, Poudlard, Beauxbâtons, Durmstrang, Ilvermorny;
Musique, Quel est l'instrument de prédilection de Mozart ?, Le piano, Le violon, La flûte, La harpe;
Nature, Quel est le plus gros poisson du monde ?, Le requin-baleine, La baleine bleue, Le grand requin blanc, L'orque;
Sciences, Quelle est la température d'ébullition de l'eau ?, 100 degrés C, 0 degré C, 50 degrés C, 200 degrés C;
Invention, Qui a inventé le vaccin contre la rage ?, Louis Pasteur, Robert Koch, Alexander Fleming, Edward Jenner;
Mythologie, Quel héros est célèbre pour ses 12 travaux ?, Hercule, Achille, Ulysse, Jason;
Littérature, Quel est le nom du hobbit qui possède l'anneau ?, Frodon Sacquet, Bilbon Sacquet, Sam Gamegie, Gandalf;
Histoire, Quel pays a vu naître la démocratie ?, La Grèce, L'Italie, L'Égypte, La France;
Sport, Combien de joueurs y a-t-il dans une équipe de volley ?, 6, 5, 11, 7;
Géographie, Quelle est la mer qui borde le sud de la France ?, La Méditerranée, La mer Rouge, La mer Noire, La mer Baltique;
Gastronomie, Quelle est la base de la sauce béchamel ?, Le beurre et la farine, L'oeuf et l'huile, La tomate, La crème;
Cinéma, Quel acteur joue Wolverine ?, Hugh Jackman, Ryan Reynolds, Chris Hemsworth, Robert Downey Jr;
Géographie, Quelle est la capitale de la Thaïlande ?, Bangkok, Phuket, Chiang Mai, Pattaya;
Histoire, Qui était le surnommé l'Incorruptible pendant la Révolution ?, Robespierre, Danton, Marat, Desmoulins;
Sciences, Quel est le symbole chimique du fer ?, Fe, F, Ir, Be;
Littérature, Quel poète a écrit Les Fleurs du Mal ?, Charles Baudelaire, Paul Verlaine, Arthur Rimbaud, Stéphane Mallarmé;
Cinéma, Quel acteur joue le rôle de Joker dans le film de 2019 ?, Joaquin Phoenix, Heath Ledger, Jack Nicholson, Jared Leto;
Sport, Quel est le record de titres mondiaux en Formule 1 (partagé) ?, 7, 5, 6, 8;
Musique, Quel chanteur a interprété Purple Rain ?, Prince, Michael Jackson, David Bowie, George Michael;
Nature, Quel est le plus grand poisson du monde ?, Le requin-baleine, Le grand requin blanc, L'orque, Le thon rouge;
Gastronomie, Quel ingrédient principal compose le tofu ?, Le soja, Le riz, Le blé, Le maïs;
Mythologie, Qui est la déesse de la chasse dans la mythologie romaine ?, Diane, Vénus, Minerve, Junon;
Histoire, En quelle année a eu lieu la bataille de Marignan ?, 1515, 1415, 1615, 1550;
Géographie, Quel est le plus grand lac d'Afrique ?, Le lac Victoria, Le lac Tanganyika, Le lac Malawi, Le lac Tchad;
Sciences, Quelle est la planète la plus chaude du système solaire ?, Vénus, Mercure, Mars, Jupiter;
Art, Qui a sculpté le Penseur ?, Auguste Rodin, Alberto Giacometti, Camille Claudel, Bernini;
Invention, Qui a inventé le télescope ?, Galilée, Isaac Newton, Johannes Kepler, Nicolas Copernic;
Sport, Quelle équipe a remporté le plus de Ligue des Champions ?, Le Real Madrid, Le FC Barcelone, L'AC Milan, Le Bayern Munich;
Littérature, Quel est le vrai nom de Molière ?, Jean-Baptiste Poquelin, Jean de La Fontaine, Pierre Corneille, Jean Racine;
Cinéma, Quel réalisateur a signé le film Parasite ?, Bong Joon-ho, Akira Kurosawa, Park Chan-wook, Takeshi Kitano;
Musique, Quel groupe a sorti l'album The Wall ?, Pink Floyd, Led Zeppelin, The Doors, The Who;
Technologie, Quel langage est utilisé pour structurer les pages web ?, HTML, Python, Java, C++;
Histoire, Quel pays a été dirigé par les Tsars ?, La Russie, L'Allemagne, La Pologne, La Turquie;
Géographie, Quel est le point le plus bas de la surface terrestre ?, La mer Morte, Le lac Assal, La vallée de la Mort, Le lac Eyre;
Sciences, Quel gaz représente environ 78 pourcent de l'air ?, L'azote, L'oxygène, L'argon, Le dioxyde de carbone;
Sport, Combien de joueurs compte une équipe de handball ?, 7, 5, 11, 9;
Nature, Quel est l'animal le plus mortel pour l'homme par an ?, Le moustique, Le lion, Le requin, Le serpent;
Gastronomie, De quelle ville vient la bouillabaisse ?, Marseille, Nice, Lyon, Bordeaux;
Art, Dans quel pays est né Salvador Dali ?, L'Espagne, La France, L'Italie, Le Portugal;
Mythologie, Quel est le nom du bateau d'Ulysse ?, On ne sait pas (pas de nom propre), L'Argo, Le Nautilus, Le Victory;
Espace, Quelle est la galaxie la plus proche de la Voie Lactée ?, Andromède, Le Nuage de Magellan, Messier 81, Sombrero;
Cinéma, Qui incarne Katniss Everdeen dans Hunger Games ?, Jennifer Lawrence, Emma Watson, Scarlett Johansson, Anne Hathaway;
Histoire, Quel traité a mis fin à la Première Guerre mondiale ?, Le traité de Versailles, Le traité de Trianon, Le traité de Rome, Le traité de Sèvres;
Géographie, Quelle est la capitale de l'Islande ?, Reykjavik, Oslo, Helsinki, Copenhague;
Sciences, Quelle est l'unité de mesure de l'intensité sonore ?, Le décibel, Le hertz, Le watt, Le joule;
Sport, Quel pays organise les JO d'hiver 2026 ?, L'Italie, La France, Le Canada, La Suisse;
Littérature, Qui est l'auteur de Orgueil et Préjugés ?, Jane Austen, Charlotte Brontë, Mary Shelley, George Eliot;
Musique, Quel compositeur a écrit Les Quatre Saisons ?, Antonio Vivaldi, Jean-Sébastien Bach, Haendel, Gluck;
Invention, Qui a inventé la radio ?, Guglielmo Marconi, Nikola Tesla, Thomas Edison, Alexander Bell;
Nature, Combien de coeurs possède une pieuvre ?, 3, 1, 2, 4;
Cinéma, Quel film a remporté l'Oscar du meilleur film en 1998 ?, Titanic, Il faut sauver le soldat Ryan, La vie est belle, Gladiator;
Gastronomie, Quel est l'ingrédient principal de la moussaka ?, L'aubergine, La pomme de terre, La courgette, Le poivron;
Art, Qui est l'auteur de La Naissance de Vénus ?, Botticelli, Raphaël, Titien, Véronèse;
Mythologie, Quel dieu scandinave est borgne ?, Odin, Thor, Loki, Freyr;
Histoire, Qui était le président français lors du passage à l'Euro ?, Jacques Chirac, François Mitterrand, Nicolas Sarkozy, Valéry Giscard d'Estaing;
Géographie, Quel fleuve passe à Lisbonne ?, Le Tage, Le Douro, L'Ebre, Le Guadalquivir;
Sciences, Quel est le nom du pigment vert des plantes ?, La chlorophylle, Le carotène, La mélanine, L'hémoglobine;
Sport, Quel joueur de tennis a le plus de titres à Roland-Garros ?, Rafael Nadal, Roger Federer, Novak Djokovic, Bjorn Borg;
Littérature, Quel écrivain a créé le personnage de Sherlock Holmes ?, Arthur Conan Doyle, Agatha Christie, Maurice Leblanc, Edgar Allan Poe;
